Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes
77.4,67.7,38,32.5,95.7,99.4,97.6,33.5
59.9,49.6,77.7,76.4,79.9,50.9,83.2,63.6
50.1,44.3,40.7,83.4,92.5,98,97.1,49.2
68.9,69,39,40.5,92.6,89.3,97.5,44.5
56,38.9,17.9,87,100,99.3,93.6,51.5
70.5,75.9,36.4,39.8,82.5,88.5,98.8,50.9
76.9,59.4,99.4,32.7,54.2,53.6,94.5,25.2
75.1,94.1,84.1,43.1,23.4,30.5,61.2,23.7
82.4,87,45.2,54.9,23.9,12.2,68.2,33
69.5,47.4,20.2,58.4,99.3,88,91.3,88.6
43.9,55,9.8,97.7,96.6,86,91.4,40.2
59.6,83.9,26.3,40.9,97.3,84.9,89.7,39.4
76.6,64.5,25,55.4,25.1,28,97.9,61.9
63.3,81.1,11.4,54.3,79.6,45.2,92.9,63.1
92.8,74.6,21.4,28.5,6.8,2.1,95.9,97.9
93.7,98,23.7,8.8,26,3.7,82.5,99.9
97,94.4,37.4,2.4,7.5,2.3,93.2,93.2
78,82.3,99.7,4.1,19.7,91.5,88.1,95.8
57,42.2,39.1,61.3,98.3,71,96,70
80.3,56.9,5,71.7,62.4,43.7,93.1,32.8
45.9,80,99.9,96.9,27.6,2.7,26.6,11
46.6,93.7,6.3,71.9,48.6,85.5,86.1,33.4
74,31.6,99.8,23.1,84.9,15.6,98.2,90.8
38,46.5,86,78,100,47.6,73.9,97.8
44.9,80.9,39.4,68.4,70.5,42.9,86.4,50.8
61.4,33.7,52,42.3,99.4,81.1,96.7,68.4
46.5,63.2,64.7,49.2,98.4,100,83.8,18.5
58.3,48.7,52.5,43.9,83.3,96.8,95.8,33.8
66.5,38.8,31,79.5,55.7,19.4,97.3,54.7
73.8,82.8,97.8,23.9,14.1,11.4,68.3,22.6
61.1,65.8,32.8,37.6,89.4,70.5,98,38
61.9,69.1,38.3,41.3,34.3,88.9,86.9,77.2
59.9,26.4,92.2,40.1,100,42.8,94.3,88.6
33.2,22.1,99.1,84.4,100,87.7,88.1,43.6
70.8,77,5.8,40.2,67.4,56.8,88.1,52.9
45.7,40.6,33.2,73.6,95.2,40.1,78.2,95.1
67.1,82.6,20.3,52.8,21.3,66.4,75.5,43.1
40.4,64.2,6.5,78.9,75.8,71.3,84.6,58.9
77.7,47.8,74.3,23.7,35.3,23.6,91.6,81.6
62.3,29.1,59.4,49.6,73.4,5.7,96.9,90.5
58.5,86,14.4,79.1,4.3,1.3,52.3,64.5
55.6,16,73.8,55.7,91.6,31.7,97.3,80.9
32.6,38.9,3.3,93.4,99.8,49.5,81.5,96.7
48.3,36.9,30.4,62.8,99.5,99.2,92.5,21.4
29.8,50.6,68.1,48.2,100,96.5,89.4,98.6
40.4,48,5.2,77.7,100,91.4,83.2,38.4
57.9,70.7,80.5,41.3,17.5,41.7,54.2,36.5
50.4,54.5,17.3,58,26,74.1,85.8,92.6
51.4,43.5,16.6,46.4,99.1,74.8,87.2,89.8
89.2,69.9,7.4,27,69.1,35.1,93.1,19
52.5,21,26.7,64.5,80.7,89.8,95.7,86.6
50,59.3,39.2,38.7,89.5,68.6,97.1,31.3
63,48,23.5,52.5,72.7,51.3,90.6,22.8
26.6,13.5,61.4,94.5,100,85.8,89.4,69.9
80.7,48.5,5,45.3,3.1,8,97.1,88
33.4,39.2,9.1,79.6,99.9,91.6,90.9,54.1
80.8,47.8,3.7,46.6,14.5,12.3,96,53.8
50,23.7,94.7,97.7,11.6,5.1,75.7,31.9
28.7,72.1,35.7,79.3,100,82.7,70.8,24.2
70.9,40.4,23.2,13,100,92,96,89.7
61.7,66.4,80.4,14.1,45.7,78.8,83.7,22.5
26.3,50.4,50.5,77.4,100,63.1,77,31.7
82.8,90,8,11.2,8.5,4.5,77.1,96.1
38.9,36.7,27.7,69.6,93.3,92.3,89.7,28.8
68.4,32.9,21.3,54.5,85,51.7,95.2,48.8
39.1,27.3,62.5,87.9,77.5,94.1,62.2,29.5
54.7,27.6,30.8,63.8,89.8,11.9,96.1,69.5
57.1,32.5,35.6,93,61.9,7.6,67.1,29
63.3,69.7,46.4,19.6,24.3,96.4,87.8,20.1
55.3,74.3,58,22.1,63.2,74.8,86.1,37.7
61,61.9,58.8,25.7,36.1,92,80.5,17.5
59.8,61.4,41.6,34.4,89.3,9.5,93.1,35.9
35.8,67.9,18.3,52,94.3,80,84.2,35.2
54.1,80.9,17.3,77.4,3.1,1.5,63.3,35.1
59.5,48.6,11.4,50.3,54.5,12.4,97.5,57.1
63.2,65.8,84.7,25.4,14.5,19.6,64.8,21.5
61.2,66,4.4,64.3,21.9,12.1,92.6,44.4
42.1,23.8,98.6,41.3,59.4,81.2,97.9,21.1
61.4,36.5,72.9,47.2,23.5,11.1,91.6,55.2
45.5,17.2,40.4,62.4,100,97.6,94.2,49.5
37,58.2,18.1,63.3,76,70,85.4,89.3
55.5,32.8,76,19.3,87.6,54.1,84.9,54.2
52.3,34.4,49.3,41.2,93.2,83.5,94.1,40
29.7,16.1,45.9,99.3,100,38,93.8,30.7
43,78,77.1,28.5,17.4,57.6,63,43.3
54.2,79.6,99.3,1.4,49,54.2,64.7,59.6
68.1,68.1,28.7,7.9,10.5,34.3,91.8,96.3
46.1,39.4,37.8,36.6,88.3,85.4,97.2,36.3
73.7,30.3,12.4,38.1,23.1,26.3,96.8,71.5
29.5,24.5,17,94.6,91.8,56.3,89,18.3
58.3,66.5,78.4,27.9,18.7,14.1,69.9,15.1
53.2,24.8,78.5,21.5,79.7,21.4,99.5,72.9
42.9,45,30.2,42.5,91,72.2,95.1,30.1
45.2,51.8,13.8,46.8,56.5,19.2,97.3,95.8
36.3,12,99.7,47.7,85.4,72.4,83.6,31.9
32.2,41.7,13.1,65.7,86.2,78.6,91.7,47.8
59,63.3,76.2,26,18.7,12.1,77.7,15.5
33.1,27.7,15.7,84.7,100,24.3,94.2,31
64,35.8,11.5,59.5,18.5,16.5,93.1,24
39.5,34.2,63.8,35.6,96.2,56.7,82.6,49.9
52.6,21.3,7.7,97.8,75.4,17.2,71.2,7.9
28.3,24.5,28.7,91.7,99.9,24.2,82,14.8
67.7,88.4,14.2,5.9,22.8,1.9,55.2,98.2
60.7,96.1,23.5,3.8,27.9,28,66.4,83.7
48.6,59.6,46,40.5,14.1,86.9,82.9,18
12.9,4.7,99.9,100,100,100,74.3,6
42.9,30.1,43,40.1,87.8,75.6,92.5,23.5
53.8,91.4,62.5,2.4,20.8,10.6,56.6,96.1
46.8,43.2,36.1,30,82.8,67.7,92.3,18.9
29.8,16.3,97,93.5,59,11.7,70.3,14
53,91.6,57.2,5.1,9.4,10.2,57.5,91.4
26.2,23.3,3.5,81.3,91.7,77.8,93,39.8
33.9,50.4,12.5,73.8,85.5,90.4,71.6,19.1
50.7,35.7,16.5,54.7,40.2,20.4,93.4,42.8
31.8,16.9,29.1,96.9,54.5,26.5,72.9,24
40.8,56.7,5.4,42.6,69.2,26.6,71.2,87.1
35.4,18.3,60.9,33.6,90,78.2,94.2,63.1
39.2,40.5,14,91.9,39.2,4.9,78.2,46.5
25.2,19,93.8,78.4,52.2,33.9,85.6,22.8
31.3,23.9,4.6,73.6,96.4,63.8,82.7,36.8
37.9,44.5,18.1,40.3,77.7,66.2,85.2,53.3
61,64.3,29.1,21,7.7,10.4,92,43.1
48.6,44.1,7.4,47.1,52.1,37.2,95.7,23.6
39.4,28.7,54.3,40,99.4,15,95.1,99
22.7,21,80,60.7,100,78.9,78.8,9.3
56.8,33.1,32.4,41.9,7.7,8.7,91.7,52.5
48.4,25.9,4.6,55,91,47.6,89.9,76.4
8.9,58.5,99,62.6,43.5,96.5,37.3,59.5
35.4,33.6,28.6,40.6,100,98.2,92.8,9.9
53.8,79.2,55.7,2.1,88.3,7.1,37.2,77.3
58.6,50.4,39.5,31.2,13.4,10.6,94.6,45.3
32,18.6,4.2,99.4,39.7,7,77.9,88.4
54.8,71.2,28,49.6,9.5,11.1,45,16.3
45.7,26.3,37.9,99.9,3.7,1.5,39.1,13.1
43.1,24.5,24.6,52.2,67.6,33.7,92.3,32.5
39.8,33.1,8.1,59.9,97.9,20.7,83.4,19
45,24.6,12.8,38.8,100,37.6,79.5,59.1
51.5,74,33.4,20.3,16.3,13.9,58.7,42.4
46.7,42.3,62.9,32.1,17.8,10.3,98.3,44.5
23.6,19.8,8,77.7,92.6,95,78.6,19.6
48.6,29.4,32.5,55,20.9,16.2,92.3,41.2
71,89.9,5.4,3.4,5.6,1.4,65.9,42.6
32.9,62.7,51.1,52.7,19.6,19.2,53.7,58.3
39.4,17.8,21.3,63.7,67.3,47.4,89,45.1
34,51.1,9,90.2,1.1,1.1,69.3,33
46,30.7,87.1,20.5,76.1,26.2,93.8,30.9
29.7,55.3,23.8,32.4,87.1,68.6,87.1,23.2
25.8,27.7,3.2,94.9,27.2,48.8,87.1,19.6
28.4,18.8,36.8,61,100,54.2,79.8,51.8
52.8,24.1,62.7,17.2,44.3,38.9,94.7,35.4
42.4,63.2,20.3,70.3,3.9,1.6,37.5,27
68.2,35.9,31.7,7.5,18.7,3,79.6,93.6
23,27.8,13.2,62.8,99.4,100,80.5,38.2
33.3,34.5,3,49.9,98.7,84.4,87.5,65.5
71.8,40.3,14.7,24.3,10.7,2.7,85.4,25.1
20.7,32,43.3,61.3,100,90.4,87.6,20
36.3,42.5,80.3,28.5,35.8,27.6,93.8,8.8
19.1,11.7,12.4,84.7,99,56.9,55.1,46.4
30.5,28.8,32.7,32,94.5,92.6,88.5,22.2
58.9,27.3,8.5,45.7,9.2,11.1,94.9,18.8
22.6,20.8,99.1,33.6,63.9,93.8,64.3,40.4
30.1,14,48,27.4,98.5,95.2,85.1,49.2
54.4,73.5,57.6,1.7,40.3,4.1,38.1,69
40.2,52.1,3.1,51.6,4.9,41,81.4,30.6
20,35.9,6.7,70,60.3,81.4,65.9,44.4
22.8,31,65.8,60.6,9.2,40.9,42.5,68.8
42.8,21.4,10.1,32.1,100,31,70.7,71.6
11.9,10.5,9.8,99.1,100,99.9,57,50.3
22.6,10.4,15.5,56.8,99.6,84.9,84.7,39.9
45.6,49.1,32.2,8,25,50.5,96.3,65.5
24.4,21.8,100,53,30.1,36,78.6,34.7
30.6,68,49.6,14.7,24.8,73.8,63.6,75.8
28.6,29.5,48.5,28.9,63.2,37,73.1,97
27,81,71.5,10.1,64.8,99.6,41.4,4.2
18.2,12,60,61.4,98.9,100,37,15.7
46.4,27.1,76.4,16.2,49.7,22.4,95.1,40.3
27.1,21.1,33.7,99.8,8,5,68.6,28.3
27,13.7,8.4,62.5,99.8,38.5,92.1,17.9
43.2,72.7,55.8,2.6,94.4,3.8,26.3,49.2
17.8,27.1,17.6,65.2,100,98.1,75.4,26.3
50,53.6,46.4,5.5,10.5,8.4,84.1,60
17.2,15.4,82.3,61.6,35.7,71.7,55.6,29.3
44,20.7,10.7,36.5,9,39.4,98.2,94
30.1,38.3,49.8,16.6,100,34.2,86.2,82
36.9,56.9,14,73.3,2.6,1.1,38.8,19.6
33.2,25.2,22.3,30.4,75.1,9.3,94.4,89.4
27,65.1,78.1,3.6,89.1,95.8,37.6,10.2
31.7,29.4,12.1,67.1,75.6,24.5,74,16.4
26.5,42.1,8.9,30.5,75.1,5.8,96.8,98.9
24.1,11.3,37.5,48.1,94.4,32,94.6,44.8
19.5,28.1,38.5,79,83.9,20.1,63.9,4.1
17.2,13.5,38.8,99.5,24.8,25.4,65.2,32.4
33.9,10.3,24.2,92.6,6.6,21.3,70.8,10.5
28,14.1,27,66,81.3,18.6,93.9,19.6
30.1,35.1,22.1,28.5,89,52.1,69.1,34
26.2,30.3,63.2,13.2,95.2,43.2,81.3,46.6
19.4,16.7,12.9,53.5,99.9,74.6,77.4,30.1
38.2,17.2,10,48.8,61,25.3,79.8,30.6
35,12.7,96.3,31.3,9.5,13.5,91.7,42.6
23.3,13.7,76.1,18.2,93.6,58.2,93.1,51.8
41.3,17.9,10.8,59.6,6.6,19.8,95.1,39.1
13.6,13.5,87.9,98.1,29.3,9.6,24.8,3.3
25.9,30,16.7,31.8,93,64,85,33.6
32.8,18.2,79.3,19.4,53.2,23.8,77.8,94.6
65.6,33.3,4.6,2.9,34.3,46.5,70.3,74.8
9.3,2.5,89.7,98.8,37.5,1.4,48.3,1.6
35.2,30.4,15.7,29.3,35.9,30.1,90.8,56.8
19.8,13.7,30.8,43.4,80,95.3,88.8,22.7
52.8,17,6.4,39.6,6.5,6.8,85.5,44.1
31.2,70.2,9,22.3,12,18.3,74.7,77.5
33.5,56.3,49.5,4.1,64.8,52.3,66.3,20.7
19.7,17.9,22.8,55.2,97.1,87.1,86.4,20.4
31.6,8.3,64.9,28.3,93.3,16.9,90.7,63.9
13.9,11.4,12.4,86.5,94.9,77.3,66.1,13.9
16,7.4,22.1,59.8,79.9,89.7,80,15.9
37.3,22.2,44.4,38.8,31.6,15.1,94.1,37.1
19,39.4,14,89.5,3.9,3.8,80.5,26.4
26.1,35.8,3.5,61.9,19.7,8,94.8,85.2
37.3,27.3,55.8,29.1,6.1,11.3,81.6,77.9
23.1,43.1,25.1,27.9,71,59.6,82.3,8.3
36.2,51.9,99.9,1.4,65.6,70,15.2,7.7
20.4,28.2,7.9,99.9,5.2,2.7,79.4,17.6
29.3,41.9,63,14,28,37.3,62.5,90.9
27.8,6.2,9.2,87,12,35.2,99.2,15.2
23.2,24.3,43.4,82,5.7,6.7,68.6,14.3
61.9,23.3,13.7,7.8,7.6,1.5,79.7,81.4
18.5,26.6,37.9,45.4,81.9,32.6,84.6,42.4
19.9,20.8,25.5,53.2,77.3,14.9,92.1,23.3
37.5,22.3,17.3,40.7,43.9,58.7,84.1,11.2
37.1,79.1,57,1.5,58,6.7,40.3,18.9
43.2,33.2,24.4,15.9,37.4,24.1,90.4,20.2
20.3,7.8,73.1,9.3,100,100,71.5,55.8
26.7,25.4,9.8,63.4,55,17,78.1,21.5
17.7,17.9,40.3,24.9,96.5,51.4,98,63.1
37.8,46.4,65.1,5.5,5.7,15.4,88.6,51.3
23.1,33,6.8,55.2,36,46.8,70.4,21.7
17.3,42.4,3.2,93.6,7,1.9,65,21
25.8,25.2,60.8,29.2,22.3,18.4,70.1,60.2
24.4,48.7,92,2.1,8,92.2,89.7,10
16.6,35.5,16.7,88.2,8.2,3.1,64.1,20.7
24,11.4,6.2,36.6,97,83.9,76.8,22.8
36.1,17.5,38.3,34.9,32.2,4.9,86.3,31.6
31.3,56.5,16.7,11.4,3.2,32.1,81.1,60.7
34.4,62,92.6,1.4,68.7,8.2,22.8,5.5
21.3,44.9,4.6,76,1.3,4.6,72.7,39.6
20.2,15.9,22.3,49.3,85.5,24.1,81.1,21.3
19,29.5,50,39.3,66.7,16.9,81.6,43.8
27,67.2,9.7,17,8.3,19.8,76.1,69.1
10.5,11.8,84.1,99.9,6.6,3.3,12.3,2.7
36.2,28.1,46.3,12.8,18,28.2,78,25.7
23.2,37.1,82.1,15.1,14.3,53.4,54.5,13.8
38.1,35.3,4.3,25.9,1.3,1.5,75.1,96
31.8,28.8,46.4,49.5,2.2,3.6,77.4,21.4
17.2,7.2,15.2,58.7,66.8,32.2,87.9,19.2
20.9,38.6,19.1,23.9,100,100,48.1,48
44.7,14.3,7.9,41.7,20.2,35.1,94.9,20.7
19.4,29,6.8,93.8,1.3,2,44.3,6.4
13.5,5.6,7.2,51.8,97.2,88.8,80.8,7.4
36.3,65.3,31.1,1.9,1.6,1.1,60.9,65.6
6.4,9.4,9.5,97.6,56.8,28.5,55.6,7.9
20.4,12.3,10.3,98.5,7.1,4.9,71.3,12.9
11.1,5.3,18.2,57,77.3,49.5,82.3,32.1
21.3,12.7,24.9,31.9,99.8,50.9,85.5,15.5
11.1,13.3,7.1,46.5,99.1,99.8,77.9,19.9
11.5,33.6,5.1,99.9,2.9,1.2,61.4,28.2
16.9,7.7,53.5,45.7,23.5,38.1,60.2,56.1
15.1,13.5,25.3,59.4,65.3,8.6,89.4,21.7
18.8,32,6.4,97.6,2.3,1.2,51.2,4.9
36.6,19.7,4.2,65.1,2.2,1.1,92.5,7.3
14.7,32.5,10.5,55.1,98.4,60.6,56.8,14.3
17,7.7,3.9,62.5,94.7,40.9,54.2,11.3
45.8,41,8.8,3,2.9,7.2,86.4,95.5
16.8,34.8,81.1,2.8,52.7,97.2,31.4,97.7
20.8,21.3,5.6,31.2,95.8,98.9,66.4,54.8
20.4,71.6,68.8,14.5,4.3,4,73.6,2.8
23.9,48.8,4,15.5,33.3,8.2,98.1,80.1
29.4,10.8,10.3,49.8,8.1,22.9,91.2,31.1
33.4,23.6,23.3,29.1,36.3,10.8,86.6,56.8
9.2,4.5,80.8,25.2,100,100,70.1,52.8
22.9,10.5,93.7,10.8,48.6,15.1,88.8,85.7
13.9,5.6,11.1,90.6,4.2,15.3,89,2.7
48.4,61.6,33.2,1.6,4,1.3,38.1,33
13.8,9,38.6,100,18.6,8.8,27,2.2
22.7,18.6,3.9,22.6,53.1,78.7,65.5,76.3
18.6,17.1,55.6,21.9,100,3.2,78.8,51.5
23.6,16.2,19,72.2,5.1,3.1,62.6,46
38.5,28.3,31.1,23.3,8,19.3,83.8,30.5
36.3,30.5,59.4,4.6,4.9,38.9,83.9,71.7
31.6,22.8,64.5,10,30.5,4.5,82,35.8
44.1,21.8,81.1,4.7,4.9,4.2,57.2,9.8
32.9,46.7,19.5,3.5,21.2,43.5,67,82.1
20.6,26.8,3,79.1,2,2,86.2,23.1
41.5,7.2,3.2,33.3,4.1,5.3,87.5,51.7
31.8,27.7,38.9,16.7,10.1,19.8,85.3,26.3
8.2,5,31.8,52.1,100,96.3,20.2,40
25.2,28.8,27.3,27.5,24.6,34.4,79.5,74.5
34.6,8.4,4.4,46.6,7.3,12.3,88.5,30.3
27.8,12.1,52.3,29.3,33.2,4.4,86.3,39.9
36.6,22.5,54.7,17.3,12.4,19.3,66.9,9.8
18.5,9.8,25.4,82.9,12.3,2.7,51.1,37.9
45.3,56.6,26.3,1.6,3.4,2.5,42.2,78.3
15.4,10,14.6,45.7,95.1,49.8,78.8,34
40.4,15.1,8.6,38.8,5.9,4.2,88.3,15
10,12,5.5,100,0,1.3,89.2,5.9
19.9,14.2,4.8,31,100,45.5,87.4,8.9
20.2,8.8,92.9,9.9,100,46.5,35.4,56.5
12.1,6.6,20,97.8,10.7,4.6,51.3,27.3
28.7,21.8,15.9,23.9,25.3,57,86.3,48.7
26.4,26.2,18.9,28.4,71.8,16.5,82.6,24
10,4.7,4.5,75,93.8,20,73.4,42.1
3.3,1.8,94.4,88.5,4.4,4.3,39.2,2.1
27.6,37.9,43.5,29.4,19.7,25.5,29.8,19.9
17.7,5.9,7.4,65.3,53.4,7,64.5,6.1
31.3,15.4,9,47.2,9.6,30.8,69.1,6.3
26.7,33.2,2.1,31,9.9,15.9,86.6,85.8
17,11.8,9.6,38,50.3,53,94.6,23.6
19.2,11.8,15.4,24.6,51.6,96.4,67.3,44
20.3,8.8,2.5,53.4,48.8,39.3,87.3,16.2
10.8,16.1,11.9,76.9,23.8,31.2,64.1,1.8
8.8,5.7,4.8,73.1,84.1,23,81,8.6
24.3,54.6,19.1,32.4,24.7,13,51.6,6.8
23.6,11.4,95.6,2.4,10.2,95.7,88.3,15.4
14.3,7.7,2.4,51.2,79.6,69.4,63.1,5.6
5.2,20.5,4.6,100,24.6,2.8,70.2,5.8
27.8,43.4,88.1,1.2,66.7,16.9,15,23.6
7.4,28.7,33.7,60.6,29.2,58.3,59.5,14.4
23.5,31.7,9.5,13.8,27.6,66.7,80.2,36
10,3.6,15.6,57.1,97.7,99.5,55.5,8.8
24,38.4,84.8,1.8,6.6,13.5,83.6,13
32.1,31.1,35.5,5.2,97,3.8,29.4,75.6
19.3,11.2,10.6,21.7,100,99.8,52.6,12.4
3.1,2.8,65.3,91.6,31.4,13.5,6.6,3
14.7,15.7,98.9,11.1,81.8,59.7,59.9,11.9
15.8,11.4,3.3,17.5,87.4,92.3,73.8,43.6
23.9,24.8,52,20.1,74.2,4.3,59.1,35.3
30.7,37.6,13.7,7,67.5,67.4,68.4,20.5
18.4,13.7,30.8,14,91.1,89.4,75.2,7.4
22,42.4,80.6,3.6,19.9,50.2,59.4,15.6
20.1,26,25.8,10.7,75,22.6,75.4,35.3
18.3,25.5,15.7,23,87.1,30.8,72.5,8
19.2,8.1,26,23.8,55.8,41.6,80.2,36.4
12.5,18.5,9,34.4,94.2,53.8,79.2,19.6
13.9,54.7,24.3,41.6,19.8,20.6,21.3,22.5
21.2,32,17.9,17.4,46.3,26.9,78.5,14.5
23.5,46.9,71.4,1.8,53.2,3.6,19.1,33.9
13.5,6.6,20.8,82,14.4,3.4,69.2,5
15.8,7,5.5,74.4,45,9.5,78.5,8.7
11.8,4.2,10.2,99.4,3.1,2.8,56.8,4.9
44.4,14.1,5.7,26.2,3.1,14.8,96.3,4.9
8.6,4.1,5.5,99.7,6.4,4,67.5,14.1
22,13.5,99,4.2,21.6,91.6,64.1,4.4
18.1,17.3,6,22,100,100,84.8,11.2
8.1,49.3,46.5,2.2,95.2,100,3.5,65.6
26.5,16.3,36.1,19.7,5.5,25,84.9,11.7
8,4.5,5.2,57.3,85.6,73.9,74.9,14.8
7.8,14,2.7,98.7,12,1.5,53.4,5.3
19.1,23.5,74.7,3.3,12.4,13.6,75.5,83.7
21.7,7.4,8.3,64.6,6.2,12.6,82.7,13.5
18.3,20.4,60.9,17.1,18.5,3.7,78.4,22.2
24.2,35.5,27.6,19.2,15.5,7.1,60.5,32.3
24.7,18.4,91,9.5,6.3,57,56.5,5.8
14.4,6.5,17.5,46.9,36.7,16,76,6.7
35.6,11,12,19.9,2.1,24.3,89.3,8.4
12.7,5.9,1.9,79.3,14.2,18.8,83.9,10.5
18.6,3.4,8.5,57.2,22.8,29.9,99.5,13.1
9.6,3.8,18.1,88.1,11.5,2.9,55.9,14.4
7.9,10.3,15.2,90.6,4.6,1.8,46.5,23.1
5.3,5,8.2,99.1,3.2,2.5,73.3,7.2
11.2,9.4,9.3,30.3,76.9,81.3,61.6,15.8
34.7,20.5,62.9,5.4,14.5,25.2,23.3,17.3
14.4,12.6,86.7,9.2,60.3,7.2,84.6,28.2
12.1,7.8,41.5,72.1,7,4.5,51.2,12.8
12.8,12.8,5,50.1,46.4,14.3,65.2,11.2
19.9,11.6,71.8,15.2,51.1,21.8,78,9
39.1,10.3,5.1,20.7,34.2,35.9,90.7,20.4
18,7.3,32.2,23.6,34.7,43.5,76,21.2
43.4,55,7.2,4.2,6.3,2.2,51.1,12.7
39.1,12.6,18.4,8.2,3.5,18.9,91.4,16
21.7,15.4,20.4,33.1,44.5,5.9,84.8,30.8
4.4,3.4,3.9,56.4,100,100,26.2,29.5
28.4,33.2,43.9,11.4,7,5.6,55,15
18,10.7,8.8,33.6,20.1,36.9,68.6,33.3
18.3,10.5,37.8,18.3,85.9,14.5,66.1,13.1
23.3,20,15.5,33.5,47.1,5,77.3,8.6
11,52,8.7,8.1,93.6,43.1,32.6,71.7
20.7,12,9.1,47.9,7.5,12.5,77.3,32.9
14.4,14.5,11.1,51.7,64,14.3,64.9,16.3
